01:54:23.616670279 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.636558776 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.636580297 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.636600065 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.636627337 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.636646884 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=) 
01:54:23.636667303 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.636688354 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636709664 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.636731196 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.636749821 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.636768918 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636787854 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.636810147 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.636833461 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=F 
01:54:23.636855734 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.636879249 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636898606 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.636918845 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.636940686 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.636962057 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.636982136 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.637003446 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637022793 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.637045517 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.637065786 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637087678 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.637107165 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637127854 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.637151580 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.637170296 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=v 
01:54:23.637191837 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637211554 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.637232485 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637254978 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.637288201 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.637308229 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.637330211 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637354518 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.637378694 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.637400185 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637420133 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.637441344 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.637466753 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637487863 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.637509184 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637531176 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.637553138 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.637565602 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.637579889 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637597994 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.637619294 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.637640525 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=E 
01:54:23.637659662 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=N 
01:54:23.637680221 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.637701011 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.637725999 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637745766 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=> 
01:54:23.637766787 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637784510 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.637796924 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.637810891 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.637823635 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=v 
01:54:23.637836189 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.637848423 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.637862550 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.637875084 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.637888049 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.637900312 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.637912595 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.637926622 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.637940679 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.637952822 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.637966288 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.637979554 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.637991717 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638003740 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.638027285 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.638034118 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638046842 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=2 
01:54:23.638063544 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=5 
01:54:23.638086859 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=0 
01:54:23.638103130 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638117207 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.638133819 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.638147314 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638162093 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.638177222 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.638191960 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638205255 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=6 
01:54:23.638224672 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638239731 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.638255151 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.638270410 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=E 
01:54:23.638300588 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=N 
01:54:23.638322800 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.638338390 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.638355212 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638369860 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.638384007 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638397683 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.638410388 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.638425376 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.638437910 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638452017 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.638464100 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data={ 
01:54:23.638480482 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.638493847 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=E 
01:54:23.638508796 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=L 
01:54:23.638520729 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638535908 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638549083 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.638561547 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638574532 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638587687 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=_ 
01:54:23.638601543 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=_ 
01:54:23.638613456 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=} 
01:54:23.638626651 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.638639025 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.638651729 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.638665185 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.638677388 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.638689953 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.638702356 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.638714570 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638727665 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=f 
01:54:23.638739668 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.638752873 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.638766479 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638778913 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.638793060 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638805453 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.638817837 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.638832205 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.638844598 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638857533 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.638870298 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.638884254 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.638896728 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638909032 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.638921736 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data={ 
01:54:23.638935302 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.638947475 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=E 
01:54:23.638960921 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=L 
01:54:23.638972914 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638985247 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.638998032 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.639009885 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.639022499 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.639035273 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=_ 
01:54:23.639047777 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=_ 
01:54:23.639060251 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=} 
01:54:23.639072815 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.639085289 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.639098364 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.639110958 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.639123191 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=. 
01:54:23.639137348 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=* 
01:54:23.639149993 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.639162476 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639175171 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.639188085 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.639200950 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639215177 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.639229074 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.639242900 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=h 
01:54:23.639255194 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.639268239 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639290531 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.639303406 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=[ 
01:54:23.639316291 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=* 
01:54:23.639328684 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=] 
01:54:23.639342331 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639356928 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=U 
01:54:23.639369202 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.639382718 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.639394981 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.639408477 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.639423155 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.639437042 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.639449015 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.639462170 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=g 
01:54:23.639474263 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639488600 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.639502777 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.639515201 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=E 
01:54:23.639527855 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=L 
01:54:23.639540179 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639551781 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.639564295 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=> 
01:54:23.639579324 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639591768 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.639604612 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=( 
01:54:23.639617006 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=b 
01:54:23.639630261 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.639643867 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.639656251 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.639668404 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.639680848 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.639693623 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=m 
01:54:23.639705766 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.639719572 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639732246 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.639745492 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.639758747 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.639772574 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.639786290 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=) 
01:54:23.639800006 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.639812300 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=; 
01:54:23.639824323 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639836987 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.639853518 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=u 
01:54:23.639867826 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.639880751 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.639893345 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639905708 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.639918954 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=X 
01:54:23.639932059 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.639944472 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=P 
01:54:23.639956966 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=O 
01:54:23.639970582 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=S 
01:54:23.639983677 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=T 
01:54:23.639997664 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640011901 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640024075 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.640036679 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=U 
01:54:23.640051116 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=R 
01:54:23.640062949 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=L 
01:54:23.640075373 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640089951 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640102455 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.640116762 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=H 
01:54:23.640130378 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640144094 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640158552 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.640171787 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.640185133 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.640199510 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.640212986 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.640225660 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.640239367 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.640252271 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.640265186 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=T 
01:54:23.640289492 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=y 
01:54:23.640299942 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.640312957 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=e 
01:54:23.640326473 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=: 
01:54:23.640339628 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640353164 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.640367091 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.640379755 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.640392109 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=l 
01:54:23.640405144 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.640419261 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=c 
01:54:23.640432967 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.640445591 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.640459087 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=i 
01:54:23.640472062 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.640485548 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.640498172 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=/ 
01:54:23.640510716 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=j 
01:54:23.640523099 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=s 
01:54:23.640535253 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=o 
01:54:23.640547516 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.640561132 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640573576 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640586100 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.640598514 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.640610547 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640622700 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640634943 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data={ 
01:54:23.640647067 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.640659140 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640671593 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.640684949 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.640697403 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.640710849 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=a 
01:54:23.640723543 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.640735856 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640748030 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=: 
01:54:23.640760664 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.640772907 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640786153 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.640799298 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=( 
01:54:23.640812794 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.640825408 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=x 
01:54:23.640838974 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.640852640 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640865314 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.640879161 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=p 
01:54:23.640893157 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640905371 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640917554 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=$ 
01:54:23.640930128 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=C 
01:54:23.640942011 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=" 
01:54:23.640955406 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640968221 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.640981747 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.640994151 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=t 
01:54:23.641006634 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=r 
01:54:23.641020250 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.641032404 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=- 
01:54:23.641046370 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=d 
01:54:23.641059796 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.641071869 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=' 
01:54:23.641084093 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=\ 
01:54:23.641096106 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=n 
01:54:23.641108640 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=' 
01:54:23.641122135 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
01:54:23.641134429 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=| 
01:54:23.641148406 43684/43684 bash  | read < SUCCESS | pipe  | args=res=1 data=  
